Time,ECG_Signal
0000.440,-0.388
0000.444,-0.453
0000.448,-0.432
0000.452,-0.448
0000.456,-0.438
0000.460,-0.415
0000.464,-0.44
0000.468,-0.362
0000.472,-0.407
0000.476,-0.388
0000.480,-0.415
0000.484,-0.422
0000.488,-0.438
0000.492,-0.425
0000.496,-0.435
0000.500,-0.37
0000.504,-0.398
0000.508,-0.388
0000.512,-0.412
0000.516,-0.412
0000.520,-0.4
0000.524,-0.398
0000.528,-0.445
0000.532,-0.383
0000.536,-0.395
0000.540,-0.37
0000.544,-0.378
0000.548,-0.42
0000.552,-0.427
0000.556,-0.398
0000.560,-0.388
0000.564,-0.375
0000.568,-0.338
0000.572,-0.347
0000.576,-0.315
0000.580,-0.328
0000.584,-0.328
0000.588,-0.313
0000.592,-0.215
0000.596,-0.247
0000.600,-0.177
0000.604,-0.15
0000.608,-0.147
0000.612,-0.138
0000.616,-0.128
0000.620,-0.16
0000.624,-0.17
0000.628,-0.122
0000.632,-0.115
0000.636,-0.102
0000.640,-0.122
0000.644,-0.133
0000.648,-0.11
0000.652,-0.165
0000.656,-0.175
0000.660,-0.172
0000.664,-0.17
0000.668,-0.135
0000.672,-0.165
0000.676,-0.195
0000.680,-0.185
0000.684,-0.22
0000.688,-0.188
0000.692,-0.203
0000.696,-0.233
0000.700,-0.198
0000.704,-0.212
0000.708,-0.207
0000.712,-0.188
0000.716,-0.185
0000.720,-0.212
0000.724,-0.212
0000.728,-0.2
0000.732,-0.195
0000.736,-0.212
0000.740,-0.2
0000.744,-0.182
0000.748,-0.25
0000.752,-0.212
0000.756,-0.237
0000.760,-0.233
0000.764,-0.207
0000.768,-0.237
0000.772,-0.22
0000.776,-0.223
0000.780,-0.215
0000.784,-0.263
0000.788,-0.285
0000.792,-0.26
0000.796,-0.25
0000.800,-0.258
0000.804,-0.258
0000.808,-0.273
0000.812,-0.275
0000.816,-0.31
0000.820,-0.29
0000.824,-0.29
0000.828,-0.287
0000.832,-0.313
0000.836,-0.297
0000.840,-0.313
0000.844,-0.29
0000.848,-0.32
0000.852,-0.34
0000.856,-0.35
0000.860,-0.345
0000.864,-0.315
0000.868,-0.313
0000.872,-0.31
0000.876,-0.287
0000.880,-0.31
0000.884,-0.313
0000.888,-0.372
0000.892,-0.338
0000.896,-0.347
0000.900,-0.34
0000.904,-0.325
0000.908,-0.333
0000.912,-0.365
0000.916,-0.347
0000.920,-0.338
0000.924,-0.385
0000.928,-0.307
0000.932,-0.375
0000.936,-0.35
0000.940,-0.352
0000.944,-0.34
0000.948,-0.365
0000.952,-0.35
0000.956,-0.383
0000.960,-0.35
0000.964,-0.35
0000.968,-0.338
0000.972,-0.362
0000.976,-0.372
0000.980,-0.352
0000.984,-0.395
0000.988,-0.383
0000.992,-0.36
0000.996,-0.378
0001.000,-0.372
0001.004,-0.352
0001.008,-0.365
0001.012,-0.383
0001.016,-0.352
0001.020,-0.347
0001.024,-0.383
0001.028,-0.378
0001.032,-0.378
0001.036,-0.345
0001.040,-0.352
0001.044,-0.362
0001.048,-0.412
0001.052,-0.39
0001.056,-0.362
0001.060,-0.372
0001.064,-0.357
0001.068,-0.35
0001.072,-0.338
0001.076,-0.365
0001.080,-0.328
0001.084,-0.395
0001.088,-0.39
0001.092,-0.362
0001.096,-0.372
0001.100,-0.357
0001.104,-0.345
0001.108,-0.362
0001.112,-0.388
0001.116,-0.383
0001.120,-0.378
0001.124,-0.378
0001.128,-0.345
0001.132,-0.35
0001.136,-0.297
0001.140,-0.313
0001.144,-0.36
0001.148,-0.36
0001.152,-0.362
0001.156,-0.352
0001.160,-0.335
0001.164,-0.3
0001.168,-0.263
0001.172,-0.258
0001.176,-0.25
0001.180,-0.287
0001.184,-0.27
0001.188,-0.265
0001.192,-0.285
0001.196,-0.278
0001.200,-0.265
0001.204,-0.223
0001.208,-0.247
0001.212,-0.273
0001.216,-0.253
0001.220,-0.287
0001.224,-0.295
0001.228,-0.287
0001.232,-0.297
0001.236,-0.313
0001.240,-0.29
0001.244,-0.325
0001.248,-0.313
0001.252,-0.32
0001.256,-0.34
0001.260,-0.345
0001.264,-0.313
0001.268,-0.265
0001.272,-0.25
0001.276,-0.263
0001.280,-0.265
0001.284,-0.263
0001.288,-0.285
0001.292,-0.235
0001.296,-0.223
0001.300,-0.175
0001.304,-0.12
0001.308,0.075
0001.312,0.302
0001.316,0.657
0001.320,1.075
0001.324,1.545
0001.328,1.875
0001.332,2.013
0001.336,1.772
0001.340,1.315
0001.344,0.745
0001.348,0.203
0001.352,-0.19
0001.356,-0.347
0001.360,-0.445
0001.364,-0.432
0001.368,-0.35
0001.372,-0.34
0001.376,-0.362
0001.380,-0.365
0001.384,-0.398
0001.388,-0.427
0001.392,-0.438
0001.396,-0.432
0001.400,-0.497
0001.404,-0.427
0001.408,-0.45
0001.412,-0.51
0001.416,-0.507
0001.420,-0.487
0001.424,-0.507
0001.428,-0.522
0001.432,-0.502
0001.436,-0.522
0001.440,-0.475
0001.444,-0.525
0001.448,-0.532
0001.452,-0.583
0001.456,-0.552
0001.460,-0.55
0001.464,-0.545
0001.468,-0.55
0001.472,-0.563
0001.476,-0.552
0001.480,-0.588
0001.484,-0.583
0001.488,-0.578
0001.492,-0.563
0001.496,-0.532
0001.500,-0.565
0001.504,-0.535
0001.508,-0.55
0001.512,-0.575
0001.516,-0.59
0001.520,-0.573
0001.524,-0.585
0001.528,-0.573
0001.532,-0.578
0001.536,-0.557
0001.540,-0.56
0001.544,-0.595
0001.548,-0.578
0001.552,-0.583
0001.556,-0.6
0001.560,-0.6
0001.564,-0.608
0001.568,-0.583
0001.572,-0.608
0001.576,-0.64
0001.580,-0.66
0001.584,-0.647
0001.588,-0.69
0001.592,-0.665
0001.596,-0.665
0001.600,-0.627
0001.604,-0.627
0001.608,-0.632
0001.612,-0.637
0001.616,-0.657
0001.620,-0.672
0001.624,-0.677
0001.628,-0.647
0001.632,-0.645
0001.636,-0.635
0001.640,-0.608
0001.644,-0.652
0001.648,-0.65
0001.652,-0.67
0001.656,-0.625
0001.660,-0.623
0001.664,-0.625
0001.668,-0.557
0001.672,-0.545
0001.676,-0.532
0001.680,-0.49
0001.684,-0.5
0001.688,-0.512
0001.692,-0.47
0001.696,-0.445
0001.700,-0.412
0001.704,-0.412
0001.708,-0.407
0001.712,-0.427
0001.716,-0.448
0001.720,-0.472
0001.724,-0.453
0001.728,-0.482
0001.732,-0.427
0001.736,-0.427
0001.740,-0.5
0001.744,-0.487
0001.748,-0.522
0001.752,-0.57
0001.756,-0.55
0001.760,-0.57
0001.764,-0.578
0001.768,-0.532
0001.772,-0.547
0001.776,-0.55
0001.780,-0.565
0001.784,-0.6
0001.788,-0.595
0001.792,-0.6
0001.796,-0.608
0001.800,-0.57
0001.804,-0.565
0001.808,-0.583
0001.812,-0.595
0001.816,-0.603
0001.820,-0.608
0001.824,-0.603
0001.828,-0.608
0001.832,-0.598
0001.836,-0.6
0001.840,-0.583
0001.844,-0.603
0001.848,-0.615
0001.852,-0.66
0001.856,-0.645
0001.860,-0.66
0001.864,-0.608
0001.868,-0.615
0001.872,-0.65
0001.876,-0.652
0001.880,-0.64
0001.884,-0.662
0001.888,-0.657
0001.892,-0.657
0001.896,-0.66
0001.900,-0.665
0001.904,-0.682
0001.908,-0.675
0001.912,-0.738
0001.916,-0.723
0001.920,-0.72
0001.924,-0.703
0001.928,-0.75
0001.932,-0.733
0001.936,-0.713
0001.940,-0.695
0001.944,-0.738
0001.948,-0.74
0001.952,-0.777
0001.956,-0.797
0001.960,-0.772
0001.964,-0.765
0001.968,-0.762
0001.972,-0.752
0001.976,-0.782
0001.980,-0.775
0001.984,-0.775
0001.988,-0.838
0001.992,-0.815
0001.996,-0.81
0002.000,-0.813
0002.004,-0.833
0002.008,-0.823
0002.012,-0.835
0002.016,-0.877
0002.020,-0.882
0002.024,-0.882
0002.028,-0.877
0002.032,-0.865
0002.036,-0.835
0002.040,-0.858
0002.044,-0.86
0002.048,-0.895
0002.052,-0.882
0002.056,-0.89
0002.060,-0.875
0002.064,-0.863
0002.068,-0.858
0002.072,-0.853
0002.076,-0.9
0002.080,-0.877
0002.084,-0.895
0002.088,-0.882
0002.092,-0.882
0002.096,-0.865
0002.100,-0.87
0002.104,-0.9
0002.108,-0.85
0002.112,-0.877
0002.116,-0.882
0002.120,-0.91
0002.124,-0.92
0002.128,-0.907
0002.132,-0.865
0002.136,-0.877
0002.140,-0.875
0002.144,-0.89
0002.148,-0.907
0002.152,-0.907
0002.156,-0.915
0002.160,-0.897
0002.164,-0.912
0002.168,-0.895
0002.172,-0.902
0002.176,-0.925
0002.180,-0.91
0002.184,-0.925
0002.188,-0.935
0002.192,-0.935
0002.196,-0.91
0002.200,-0.927
0002.204,-0.925
0002.208,-0.935
0002.212,-0.948
0002.216,-0.973
0002.220,-0.988
0002.224,-0.953
0002.228,-0.983
0002.232,-0.965
0002.236,-0.975
0002.240,-0.925
0002.244,-0.988
0002.248,-1.008
0002.252,-1.0
0002.256,-0.99
0002.260,-0.97
0002.264,-0.998
0002.268,-0.985
0002.272,-0.988
0002.276,-1.0
0002.280,-1.002
0002.284,-1.0
0002.288,-0.983
0002.292,-1.012
0002.296,-0.97
0002.300,-0.953
0002.304,-0.94
0002.308,-0.985
0002.312,-1.015
0002.316,-1.02
0002.320,-1.048
0002.324,-1.028
0002.328,-1.05
0002.332,-1.01
0002.336,-1.038
0002.340,-1.077
0002.344,-1.103
0002.348,-1.127
0002.352,-1.14
0002.356,-1.175
0002.360,-1.17
0002.364,-1.145
0002.368,-1.14
0002.372,-1.15
0002.376,-1.145
0002.380,-1.165
0002.384,-1.173
0002.388,-1.175
0002.392,-1.133
0002.396,-1.137
0002.400,-1.077
0002.404,-1.012
0002.408,-0.848
0002.412,-0.637
0002.416,-0.25
0002.420,0.2
0002.424,0.7
0002.428,1.15
0002.432,1.42
0002.436,1.415
0002.440,1.123
0002.444,0.627
0002.448,0.077
0002.452,-0.438
0002.456,-0.828
0002.460,-1.12
0002.464,-1.24
0002.468,-1.29
0002.472,-1.308
0002.476,-1.3
0002.480,-1.32
0002.484,-1.365
0002.488,-1.383
0002.492,-1.385
0002.496,-1.41
0002.500,-1.44
0002.504,-1.423
0002.508,-1.452
0002.512,-1.45
0002.516,-1.458
0002.520,-1.512
0002.524,-1.488
0002.528,-1.478
0002.532,-1.472
0002.536,-1.472
0002.540,-1.46
0002.544,-1.522
0002.548,-1.508
0002.552,-1.512
0002.556,-1.485
0002.560,-1.478
0002.564,-1.482
0002.568,-1.472
0002.572,-1.44
0002.576,-1.44
0002.580,-1.475
0002.584,-1.485
0002.588,-1.51
0002.592,-1.498
0002.596,-1.475
0002.600,-1.462
0002.604,-1.45
0002.608,-1.465
0002.612,-1.462
0002.616,-1.427
0002.620,-1.438
0002.624,-1.438
0002.628,-1.433
0002.632,-1.438
0002.636,-1.395
0002.640,-1.403
0002.644,-1.407
0002.648,-1.397
0002.652,-1.413
0002.656,-1.397
0002.660,-1.4
0002.664,-1.363
0002.668,-1.34
0002.672,-1.313
0002.676,-1.335
0002.680,-1.377
0002.684,-1.327
0002.688,-1.35
0002.692,-1.315
0002.696,-1.327
0002.700,-1.285
0002.704,-1.245
0002.708,-1.282
0002.712,-1.3
0002.716,-1.285
0002.720,-1.295
0002.724,-1.288
0002.728,-1.24
0002.732,-1.258
0002.736,-1.208
0002.740,-1.208
0002.744,-1.225
0002.748,-1.235
0002.752,-1.212
0002.756,-1.2
0002.760,-1.195
0002.764,-1.115
0002.768,-1.1
0002.772,-1.052
0002.776,-1.032
0002.780,-1.025
0002.784,-0.975
0002.788,-0.96
0002.792,-0.9
0002.796,-0.9
0002.800,-0.873
0002.804,-0.863
0002.808,-0.825
0002.812,-0.873
0002.816,-0.877
0002.820,-0.858
0002.824,-0.887
0002.828,-0.86
0002.832,-0.87
0002.836,-0.858
0002.840,-0.825
0002.844,-0.882
0002.848,-0.863
0002.852,-0.87
0002.856,-0.823
0002.860,-0.828
0002.864,-0.877
0002.868,-0.86
0002.872,-0.838
0002.876,-0.825
0002.880,-0.825
0002.884,-0.848
0002.888,-0.853
0002.892,-0.825
0002.896,-0.828
0002.900,-0.79
0002.904,-0.815
0002.908,-0.79
0002.912,-0.807
0002.916,-0.825
0002.920,-0.823
0002.924,-0.797
0002.928,-0.785
0002.932,-0.775
0002.936,-0.752
0002.940,-0.775
0002.944,-0.762
0002.948,-0.75
0002.952,-0.797
0002.956,-0.815
0002.960,-0.782
0002.964,-0.79
0002.968,-0.752
0002.972,-0.757
0002.976,-0.74
0002.980,-0.762
0002.984,-0.797
0002.988,-0.775
0002.992,-0.757
0002.996,-0.762
0003.000,-0.757
0003.004,-0.72
0003.008,-0.752
0003.012,-0.748
0003.016,-0.775
0003.020,-0.772
0003.024,-0.785
0003.028,-0.735
0003.032,-0.74
0003.036,-0.713
0003.040,-0.725
0003.044,-0.745
0003.048,-0.775
0003.052,-0.762
0003.056,-0.762
0003.060,-0.76
0003.064,-0.738
0003.068,-0.738
0003.072,-0.72
0003.076,-0.762
0003.080,-0.728
0003.084,-0.757
0003.088,-0.76
0003.092,-0.745
0003.096,-0.738
0003.100,-0.733
0003.104,-0.733
0003.108,-0.69
0003.112,-0.71
0003.116,-0.715
0003.120,-0.723
0003.124,-0.688
0003.128,-0.735
0003.132,-0.72
0003.136,-0.708
0003.140,-0.7
0003.144,-0.698
0003.148,-0.715
0003.152,-0.72
0003.156,-0.713
0003.160,-0.733
0003.164,-0.713
0003.168,-0.69
0003.172,-0.698
0003.176,-0.708
0003.180,-0.69
0003.184,-0.725
0003.188,-0.703
0003.192,-0.723
0003.196,-0.715
0003.200,-0.677
0003.204,-0.688
0003.208,-0.708
0003.212,-0.703
0003.216,-0.67
0003.220,-0.723
0003.224,-0.688
0003.228,-0.71
0003.232,-0.682
0003.236,-0.635
0003.240,-0.657
0003.244,-0.682
0003.248,-0.662
0003.252,-0.695
0003.256,-0.688
0003.260,-0.66
0003.264,-0.627
0003.268,-0.623
0003.272,-0.66
0003.276,-0.632
0003.280,-0.652
0003.284,-0.625
0003.288,-0.625
0003.292,-0.67
0003.296,-0.632
0003.300,-0.637
0003.304,-0.632
0003.308,-0.625
0003.312,-0.61
0003.316,-0.623
0003.320,-0.665
0003.324,-0.635
0003.328,-0.603
0003.332,-0.588
0003.336,-0.578
0003.340,-0.557
0003.344,-0.61
0003.348,-0.578
0003.352,-0.595
0003.356,-0.56
0003.360,-0.527
0003.364,-0.5
0003.368,-0.5
0003.372,-0.512
0003.376,-0.472
0003.380,-0.487
0003.384,-0.5
0003.388,-0.465
0003.392,-0.445
0003.396,-0.45
0003.400,-0.415
0003.404,-0.422
0003.408,-0.42
0003.412,-0.41
0003.416,-0.425
0003.420,-0.422
0003.424,-0.42
0003.428,-0.453
0003.432,-0.427
0003.436,-0.41
0003.440,-0.425
0003.444,-0.465
0003.448,-0.435
0003.452,-0.415
0003.456,-0.415
0003.460,-0.39
0003.464,-0.37
0003.468,-0.338
0003.472,-0.34
0003.476,-0.328
0003.480,-0.323
0003.484,-0.338
0003.488,-0.31
0003.492,-0.282
0003.496,-0.237
0003.500,-0.122
0003.504,0.037
0003.508,0.278
0003.512,0.613
0003.516,1.045
0003.520,1.47
0003.524,1.972
0003.528,2.288
0003.532,2.395
0003.536,2.145
0003.540,1.66
0003.544,1.065
0003.548,0.475
0003.552,-0.007
0003.556,-0.25
0003.560,-0.347
0003.564,-0.378
0003.568,-0.362
0003.572,-0.328
0003.576,-0.295
0003.580,-0.333
0003.584,-0.345
0003.588,-0.388
0003.592,-0.412
0003.596,-0.41
0003.600,-0.432
0003.604,-0.427
0003.608,-0.432
0003.612,-0.435
0003.616,-0.445
0003.620,-0.435
0003.624,-0.4
0003.628,-0.458
0003.632,-0.432
0003.636,-0.403
0003.640,-0.375
0003.644,-0.44
0003.648,-0.44
0003.652,-0.448
0003.656,-0.45
0003.660,-0.445
0003.664,-0.46
0003.668,-0.453
0003.672,-0.453
0003.676,-0.445
0003.680,-0.448
0003.684,-0.458
0003.688,-0.46
0003.692,-0.465
0003.696,-0.403
0003.700,-0.425
0003.704,-0.39
0003.708,-0.4
0003.712,-0.388
0003.716,-0.425
0003.720,-0.463
0003.724,-0.45
0003.728,-0.427
0003.732,-0.422
0003.736,-0.375
0003.740,-0.39
0003.744,-0.388
0003.748,-0.41
0003.752,-0.407
0003.756,-0.435
0003.760,-0.395
0003.764,-0.388
0003.768,-0.372
0003.772,-0.362
0003.776,-0.357
0003.780,-0.385
0003.784,-0.385
0003.788,-0.403
0003.792,-0.375
0003.796,-0.37
0003.800,-0.352
0003.804,-0.362
0003.808,-0.347
0003.812,-0.36
0003.816,-0.335
0003.820,-0.39
0003.824,-0.32
0003.828,-0.325
0003.832,-0.285
0003.836,-0.263
0003.840,-0.253
0003.844,-0.225
0003.848,-0.2
0003.852,-0.177
0003.856,-0.163
0003.860,-0.125
0003.864,-0.1
0003.868,-0.085
0003.872,-0.063
0003.876,-0.06
0003.880,-0.063
0003.884,-0.095
0003.888,-0.083
0003.892,-0.075
0003.896,-0.085
0003.900,-0.09
0003.904,-0.063
0003.908,-0.077
0003.912,-0.1
0003.916,-0.087
0003.920,-0.125
0003.924,-0.107
0003.928,-0.113
0003.932,-0.07
0003.936,-0.095
0003.940,-0.102
0003.944,-0.1
0003.948,-0.113
0003.952,-0.095
0003.956,-0.122
0003.960,-0.09
0003.964,-0.077
0003.968,-0.077
0003.972,-0.087
0003.976,-0.1
0003.980,-0.098
0003.984,-0.1
0003.988,-0.125
0003.992,-0.075
0003.996,-0.075
0004.000,-0.083
0004.004,-0.072
0004.008,-0.098
0004.012,-0.09
0004.016,-0.138
0004.020,-0.14
0004.024,-0.1
0004.028,-0.115
0004.032,-0.113
0004.036,-0.11
0004.040,-0.11
0004.044,-0.125
0004.048,-0.147
0004.052,-0.147
0004.056,-0.185
0004.060,-0.163
0004.064,-0.145
0004.068,-0.113
0004.072,-0.14
0004.076,-0.14
0004.080,-0.135
0004.084,-0.182
0004.088,-0.158
0004.092,-0.165
0004.096,-0.185
0004.100,-0.15
0004.104,-0.15
0004.108,-0.158
0004.112,-0.172
0004.116,-0.188
0004.120,-0.19
0004.124,-0.182
0004.128,-0.175
0004.132,-0.185
0004.136,-0.172
0004.140,-0.133
0004.144,-0.175
0004.148,-0.16
0004.152,-0.203
0004.156,-0.185
0004.160,-0.188
0004.164,-0.145
0004.168,-0.177
0004.172,-0.14
0004.176,-0.16
0004.180,-0.182
0004.184,-0.207
0004.188,-0.172
0004.192,-0.21
0004.196,-0.212
0004.200,-0.177
0004.204,-0.158
0004.208,-0.158
0004.212,-0.21
0004.216,-0.212
0004.220,-0.212
0004.224,-0.175
0004.228,-0.182
0004.232,-0.17
0004.236,-0.138
0004.240,-0.15
0004.244,-0.177
0004.248,-0.172
0004.252,-0.165
0004.256,-0.185
0004.260,-0.185
0004.264,-0.147
0004.268,-0.14
0004.272,-0.145
0004.276,-0.122
0004.280,-0.158
0004.284,-0.188
0004.288,-0.15
0004.292,-0.163
0004.296,-0.14
0004.300,-0.135
0004.304,-0.14
0004.308,-0.14
0004.312,-0.163
0004.316,-0.175
0004.320,-0.163
0004.324,-0.163
0004.328,-0.16
0004.332,-0.138
0004.336,-0.12
0004.340,-0.095
0004.344,-0.113
0004.348,-0.125
0004.352,-0.122
0004.356,-0.102
0004.360,-0.128
0004.364,-0.11
0004.368,-0.085
0004.372,-0.087
0004.376,-0.115
0004.380,-0.125
0004.384,-0.133
0004.388,-0.083
0004.392,-0.1
0004.396,-0.077
0004.400,-0.085
0004.404,-0.035
0004.408,-0.015
0004.412,-0.028
0004.416,-0.058
0004.420,0.007
0004.424,-0.028
0004.428,0.007
0004.432,0.013
0004.436,0.028
0004.440,0.015
0004.444,0.015
0004.448,0.028
0004.452,0.0
0004.456,0.022
0004.460,0.015
0004.464,0.035
0004.468,0.013
0004.472,-0.033
0004.476,0.022
0004.480,-0.048
0004.484,-0.033
0004.488,-0.058
0004.492,-0.028
0004.496,-0.022
0004.500,0.02
0004.504,0.007
0004.508,0.015
0004.512,0.025
0004.516,0.035
0004.520,0.022
0004.524,0.033
0004.528,0.063
0004.532,0.102
0004.536,0.095
0004.540,0.147
0004.544,0.133
0004.548,0.26
0004.552,0.385
0004.556,0.625
0004.560,0.983
0004.564,1.482
0004.568,1.97
0004.572,2.41
0004.576,2.565
0004.580,2.498
0004.584,2.07
0004.588,1.522
0004.592,0.897
0004.596,0.458
0004.600,0.14
0004.604,-0.022
0004.608,0.0
0004.612,-0.035
0004.616,-0.01
0004.620,0.0
0004.624,0.01
0004.628,-0.015
0004.632,0.003
0004.636,-0.05
0004.640,-0.05
0004.644,-0.077
0004.648,-0.11
0004.652,-0.098
0004.656,-0.1
0004.660,-0.122
0004.664,-0.115
0004.668,-0.06
0004.672,-0.113
0004.676,-0.095
0004.680,-0.11
0004.684,-0.147
0004.688,-0.128
0004.692,-0.113
0004.696,-0.115
0004.700,-0.1
0004.704,-0.102
0004.708,-0.125
0004.712,-0.14
0004.716,-0.113
0004.720,-0.15
0004.724,-0.133
0004.728,-0.107
0004.732,-0.147
0004.736,-0.098
0004.740,-0.113
0004.744,-0.12
0004.748,-0.147
0004.752,-0.15
0004.756,-0.115
0004.760,-0.147
0004.764,-0.138
0004.768,-0.113
0004.772,-0.063
0004.776,-0.095
0004.780,-0.12
0004.784,-0.135
0004.788,-0.11
0004.792,-0.115
0004.796,-0.122
0004.800,-0.115
0004.804,-0.1
0004.808,-0.113
0004.812,-0.083
0004.816,-0.12
0004.820,-0.147
0004.824,-0.12
0004.828,-0.133
0004.832,-0.125
0004.836,-0.113
0004.840,-0.122
0004.844,-0.107
0004.848,-0.15
0004.852,-0.133
0004.856,-0.147
0004.860,-0.12
0004.864,-0.128
0004.868,-0.085
0004.872,-0.083
0004.876,-0.072
0004.880,-0.085
0004.884,-0.083
0004.888,-0.12
0004.892,-0.065
0004.896,-0.02
0004.900,0.0
0004.904,0.052
0004.908,0.11
0004.912,0.077
0004.916,0.095
0004.920,0.048
0004.924,0.077
0004.928,0.113
0004.932,0.152
0004.936,0.15
0004.940,0.17
0004.944,0.175
0004.948,0.138
0004.952,0.135
0004.956,0.107
0004.960,0.14
0004.964,0.113
0004.968,0.14
0004.972,0.122
0004.976,0.133
0004.980,0.102
0004.984,0.065
0004.988,0.052
0004.992,0.072
0004.996,0.09
0005.000,0.098
0005.004,0.1
0005.008,0.085
0005.012,0.07
0005.016,0.095
