Time,ECG_1,ECG_2
0.25,-0.18,0.095
0.253,-0.19,0.095
0.256,-0.205,0.095
0.258,-0.205,0.11
0.261,-0.21,0.145
0.264,-0.205,0.155
0.267,-0.2,0.175
0.269,-0.2,0.185
0.272,-0.19,0.215
0.275,-0.175,0.245
0.278,-0.165,0.275
0.281,-0.13,0.295
0.283,-0.145,0.31
0.286,-0.125,0.315
0.289,-0.13,0.32
0.292,-0.115,0.335
0.294,-0.095,0.35
0.297,-0.085,0.345
0.3,-0.08,0.34
0.303,-0.08,0.335
0.306,-0.085,0.33
0.308,-0.075,0.345
0.311,-0.065,0.365
0.314,-0.05,0.36
0.317,-0.045,0.365
0.319,-0.05,0.35
0.322,-0.05,0.35
0.325,-0.045,0.36
0.328,-0.035,0.37
0.331,-0.015,0.385
0.333,-0.02,0.38
0.336,-0.035,0.375
0.339,-0.025,0.365
0.342,-0.03,0.37
0.344,-0.01,0.39
0.347,-0.01,0.39
0.35,0.005,0.395
0.353,-0.005,0.395
0.356,-0.005,0.385
0.358,-0.005,0.4
0.361,0.01,0.415
0.364,0.02,0.415
0.367,0.025,0.42
0.369,0.02,0.41
0.372,0.015,0.41
0.375,0.02,0.43
0.378,0.035,0.435
0.381,0.05,0.44
0.383,0.04,0.44
0.386,0.045,0.44
0.389,0.04,0.43
0.392,0.035,0.445
0.394,0.055,0.465
0.397,0.065,0.47
0.4,0.06,0.465
0.403,0.055,0.465
0.406,0.055,0.465
0.408,0.065,0.47
0.411,0.08,0.49
0.414,0.07,0.495
0.417,0.09,0.5
0.419,0.08,0.485
0.422,0.07,0.49
0.425,0.075,0.505
0.428,0.085,0.52
0.431,0.1,0.52
0.433,0.095,0.52
0.436,0.09,0.52
0.439,0.08,0.515
0.442,0.08,0.53
0.444,0.095,0.535
0.447,0.095,0.55
0.45,0.09,0.545
0.453,0.09,0.535
0.456,0.09,0.535
0.458,0.09,0.54
0.461,0.075,0.545
0.464,0.085,0.56
0.467,0.105,0.535
0.469,0.08,0.54
0.472,0.065,0.52
0.475,0.065,0.525
0.478,0.07,0.525
0.481,0.075,0.535
0.483,0.065,0.52
0.486,0.055,0.51
0.489,0.035,0.5
0.492,0.035,0.505
0.494,0.035,0.515
0.497,0.035,0.495
0.5,0.025,0.485
0.503,0.01,0.465
0.506,0,0.455
0.508,-0.02,0.465
0.511,-0.01,0.465
0.514,-0.015,0.47
0.517,-0.02,0.45
0.519,-0.05,0.44
0.522,-0.06,0.43
0.525,-0.06,0.425
0.528,-0.065,0.425
0.531,-0.065,0.42
0.533,-0.08,0.4
0.536,-0.095,0.38
0.539,-0.1,0.37
0.542,-0.095,0.375
0.544,-0.1,0.38
0.547,-0.09,0.375
0.55,-0.1,0.365
0.553,-0.11,0.345
0.556,-0.135,0.34
0.558,-0.135,0.33
0.561,-0.125,0.335
0.564,-0.12,0.33
0.567,-0.115,0.33
0.569,-0.135,0.31
0.572,-0.15,0.3
0.575,-0.145,0.295
0.578,-0.145,0.3
0.581,-0.135,0.305
0.583,-0.135,0.295
0.586,-0.145,0.29
0.589,-0.155,0.28
0.592,-0.15,0.285
0.594,-0.14,0.295
0.597,-0.14,0.29
0.6,-0.145,0.28
0.603,-0.15,0.28
0.606,-0.15,0.27
0.608,-0.17,0.29
0.611,-0.155,0.275
0.614,-0.145,0.285
0.617,-0.135,0.265
0.619,-0.15,0.275
0.622,-0.16,0.265
0.625,-0.155,0.275
0.628,-0.16,0.29
0.631,-0.135,0.275
0.633,-0.145,0.265
0.636,-0.15,0.26
0.639,-0.165,0.26
0.642,-0.155,0.26
0.644,-0.14,0.275
0.647,-0.135,0.27
0.65,-0.155,0.255
0.653,-0.15,0.26
0.656,-0.165,0.255
0.658,-0.165,0.25
0.661,-0.16,0.265
0.664,-0.15,0.27
0.667,-0.15,0.265
0.669,-0.15,0.245
0.672,-0.15,0.25
0.675,-0.175,0.255
0.678,-0.165,0.265
0.681,-0.155,0.265
0.683,-0.16,0.265
0.686,-0.17,0.265
0.689,-0.175,0.255
0.692,-0.185,0.255
0.694,-0.16,0.275
0.697,-0.16,0.265
0.7,-0.165,0.26
0.703,-0.18,0.25
0.706,-0.19,0.25
0.708,-0.195,0.255
0.711,-0.18,0.265
0.714,-0.18,0.26
0.717,-0.185,0.25
0.719,-0.195,0.245
0.722,-0.21,0.23
0.725,-0.205,0.245
0.728,-0.2,0.26
0.731,-0.2,0.245
0.733,-0.205,0.24
0.736,-0.22,0.225
0.739,-0.24,0.23
0.742,-0.23,0.235
0.744,-0.22,0.24
0.747,-0.215,0.24
0.75,-0.225,0.24
0.753,-0.225,0.23
0.756,-0.245,0.22
0.758,-0.235,0.23
0.761,-0.23,0.23
0.764,-0.215,0.225
0.767,-0.215,0.235
0.769,-0.235,0.205
0.772,-0.245,0.21
0.775,-0.235,0.22
0.778,-0.23,0.225
0.781,-0.225,0.225
0.783,-0.235,0.23
0.786,-0.25,0.21
0.789,-0.26,0.205
0.792,-0.25,0.215
0.794,-0.245,0.215
0.797,-0.23,0.235
0.8,-0.245,0.21
0.803,-0.25,0.205
0.806,-0.25,0.195
0.808,-0.255,0.215
0.811,-0.25,0.22
0.814,-0.245,0.22
0.817,-0.26,0.2
0.819,-0.25,0.2
0.822,-0.28,0.205
0.825,-0.26,0.21
0.828,-0.255,0.215
0.831,-0.255,0.22
0.833,-0.255,0.22
0.836,-0.25,0.215
0.839,-0.27,0.195
0.842,-0.26,0.215
0.844,-0.255,0.225
0.847,-0.24,0.225
0.85,-0.235,0.22
0.853,-0.23,0.215
0.856,-0.21,0.215
0.858,-0.205,0.23
0.861,-0.135,0.245
0.864,-0.04,0.275
0.867,0.205,0.315
0.869,0.63,0.415
0.872,0.845,0.695
0.875,0.63,1
0.878,0.26,0.98
0.881,0.06,0.71
0.883,0.045,0.495
0.886,0.05,0.42
0.889,0.03,0.415
0.892,0.005,0.41
0.894,-0.01,0.38
0.897,-0.04,0.37
0.9,-0.035,0.365
0.903,-0.04,0.34
0.906,-0.05,0.32
0.908,-0.045,0.32
0.911,-0.06,0.31
0.914,-0.055,0.28
0.917,-0.07,0.255
0.919,-0.09,0.21
0.922,-0.115,0.2
0.925,-0.12,0.185
0.928,-0.13,0.19
0.931,-0.135,0.16
0.933,-0.17,0.145
0.936,-0.22,0.12
0.939,-0.265,0.105
0.942,-0.3,0.09
0.944,-0.33,0.08
0.947,-0.35,0.045
0.95,-0.4,0.03
0.953,-0.465,0
0.956,-0.565,-0.015
0.958,-0.63,-0.025
0.961,-0.67,-0.045
0.964,-0.71,-0.04
0.967,-0.75,-0.055
0.969,-0.81,-0.085
0.972,-0.87,-0.11
0.975,-0.905,-0.13
0.978,-0.92,-0.15
0.981,-0.925,-0.195
0.983,-0.93,-0.26
0.986,-0.935,-0.295
0.989,-0.945,-0.335
0.992,-0.935,-0.34
0.994,-0.915,-0.355
0.997,-0.905,-0.395
1,0.840200256,-0.44
1.003,-0.027849609,-0.47
1.006,-0.815397059,-0.51
1.008,0.019703083,-0.525
1.011,-0.339751305,-0.545
1.014,0.007322844,-0.58
1.017,-0.295435026,-0.625
1.019,0.283448757,-0.65
1.022,-0.803817257,-0.67
1.025,0.489387431,-0.635
1.028,0.523514273,-0.6
1.031,-0.836335276,-0.57
1.033,0.646419822,-0.535
1.036,-0.027032729,-0.505
1.039,0.106670311,-0.445
1.042,0.100482569,-0.38
1.044,-0.245100106,-0.33
1.047,-0.217055939,-0.27
1.05,0.139315036,-0.225
1.053,-0.902660784,-0.18
1.056,0.846149432,-0.15
1.058,0.703735907,-0.1
1.061,-0.018152013,-0.065
1.064,-0.18066475,-0.04
1.067,0.795836712,-0.005
1.069,-0.660852509,-0.01
1.072,-0.067216458,0.005
1.075,-0.82166941,0.03
1.078,0.659525963,0.055
1.081,-0.065259688,0.08
1.083,-0.502664056,0.085
1.086,-0.845712341,0.09
1.089,0.288293382,0.12
1.092,-0.492288699,0.145
1.094,-0.730685803,0.18
1.097,-0.478106803,0.21
1.1,0.997154783,0.22
1.103,-0.76926419,0.23
1.106,0.639388324,0.25
1.108,0.633168489,0.28
1.111,0.095688148,0.305
1.114,-0.136646892,0.305
1.117,-0.75012732,0.305
1.119,0.19279841,0.315
1.122,-0.874552409,0.3
1.125,0.596629873,0.31
1.128,0.820136651,0.32
1.131,-0.316340416,0.325
1.133,0.163902951,0.335
1.136,0.550317523,0.325
1.139,-0.920098419,0.32
1.142,0.163710417,0.325
1.144,-0.736848459,0.345
1.147,0.085164942,0.345
1.15,0.8411928,0.345
1.153,0.096155679,0.335
1.156,-0.233038585,0.335
1.158,0.372830733,0.355
1.161,0.496651822,0.375
1.164,0.503191744,0.37
1.167,0.084189037,0.375
1.169,0.935528265,0.365
1.172,-0.163332737,0.37
1.175,-0.956224359,0.37
1.178,0.794750822,0.38
1.181,0.388616185,0.39
1.183,0.580160633,0.385
1.186,-0.577107529,0.38
1.189,0.776962616,0.385
1.192,-0.096071562,0.395
1.194,0.932970821,0.41
1.197,-0.800457276,0.405
1.2,-0.285062556,0.405
1.203,-0.839466769,0.4
1.206,-0.981172947,0.405
1.208,-0.987104004,0.42
1.211,0.044296231,0.43
1.214,0.758402073,0.44
1.217,-0.889123898,0.435
1.219,-0.862536048,0.435
1.222,-0.519538858,0.435
1.225,0.774212375,0.46
1.228,0.462838445,0.465
1.231,0.11603396,0.47
1.233,-0.396407356,0.475
1.236,-0.509735551,0.465
1.239,-0.758053414,0.475
1.242,-0.404159994,0.485
1.244,-0.926080262,0.5
1.247,0.027442496,0.505
1.25,0.601787123,0.505
1.253,-0.073430242,0.5
1.256,-0.116606587,0.5
1.258,-0.266683226,0.515
1.261,-0.649174544,0.525
1.264,0.65462296,0.525
1.267,0.511583766,0.525
1.269,0.376088957,0.525
1.272,-0.444669616,0.52
1.275,0.892187834,0.535
1.278,0.704308325,0.54
1.281,-0.403644055,0.55
1.283,-0.829076982,0.545
1.286,-0.223435373,0.54
1.289,0.03505847,0.535
1.292,0.166786091,0.54
1.294,0.595477877,0.54
1.297,-0.852903928,0.54
1.3,-0.977322914,0.53
1.303,0.054477693,0.52
1.306,0.8264428,0.51
1.308,-0.30770882,0.515
1.311,0.049651855,0.52
1.314,0.431300432,0.505
1.317,-0.792281352,0.5
1.319,-0.326664313,0.48
1.322,0.916472147,0.47
1.325,0.708214604,0.47
1.328,-0.338303335,0.47
1.331,-0.617299152,0.46
1.333,-0.573966223,0.455
1.336,-0.760502583,0.435
1.339,-0.143560847,0.425
1.342,0.39087989,0.415
1.344,0.407140673,0.415
1.347,-0.402189434,0.41
1.35,-0.028081849,0.39
1.353,-0.023224801,0.375
1.356,-0.905170167,0.355
1.358,-0.885907047,0.365
1.361,0.665091477,0.37
1.364,0.964758931,0.355
1.367,0.490946424,0.355
1.369,0.94701727,0.335
1.372,0.944228166,0.315
1.375,-0.876863133,0.315
1.378,0.911449313,0.335
1.381,-0.639964265,0.33
1.383,-0.038172154,0.315
1.386,-0.425070646,0.295
1.389,-0.108734675,0.29
1.392,0.377825567,0.3
1.394,-0.189794327,0.305
1.397,0.151519363,0.305
1.4,0.347247473,0.295
1.403,0.955268563,0.28
1.406,0.592916348,0.26
1.408,0.597005892,0.28
1.411,0.39536856,0.275
1.414,-0.506541304,0.275
1.417,0.437382387,0.28
1.419,-0.694062565,0.25
1.422,0.531950518,0.24
1.425,-0.026683243,0.265
1.428,-0.32291505,0.27
1.431,0.109565747,0.27
1.433,-0.230954258,0.25
1.436,-0.767158095,0.24
1.439,-0.789572935,0.225
1.442,0.954325695,0.26
1.444,0.580075046,0.26
1.447,0.303129183,0.27
1.45,-0.416632927,0.26
1.453,-0.72871235,0.24
1.456,-0.680475684,0.24
1.458,0.172995133,0.245
1.461,-0.506179508,0.245
1.464,0.852140828,0.255
1.467,-0.190252079,0.25
1.469,-0.636254971,0.235
1.472,0.755846252,0.24
1.475,-0.931123624,0.245
1.478,0.151751409,0.25
1.481,-0.177706141,0.25
1.483,0.956093158,0.255
1.486,-0.329373493,0.235
1.489,-0.054177462,0.24
1.492,0.949235819,0.235
1.494,0.284731184,0.25
1.497,0.40765734,0.245
1.5,-0.214884514,0.24
1.503,-0.694958442,0.23
1.506,0.62330623,0.22
1.508,0.338762802,0.23
1.511,0.221325521,0.24
1.514,0.783049352,0.23
1.517,-0.32767567,0.23
1.519,0.733012276,0.23
1.522,-0.482900378,0.21
1.525,0.771836381,0.23
1.528,0.112899762,0.23
1.531,-0.544941489,0.235
1.533,0.551876385,0.225
1.536,0.762404731,0.2
1.539,-0.372232819,0.2
1.542,-0.816234417,0.21
1.544,0.235286803,0.23
1.547,-0.505061764,0.21
1.55,-0.421173443,0.22
1.553,0.835439592,0.205
1.556,0.897712105,0.195
1.558,0.332319092,0.195
1.561,0.16236509,0.205
1.564,-0.97194501,0.205
1.567,0.071037471,0.19
1.569,-0.834690369,0.19
1.572,-0.299060582,0.19
1.575,0.532084275,0.185
1.578,0.392268867,0.2
1.581,-0.013341825,0.19
1.583,-0.594894725,0.195
1.586,-0.056943516,0.185
1.589,0.464832646,0.175
1.592,-0.84386065,0.185
1.594,0.944959105,0.195
1.597,-0.211830164,0.195
1.6,-0.285826945,0.195
1.603,-0.014770805,0.185
1.606,-0.873833135,0.175
1.608,-0.109277278,0.18
1.611,-0.532132998,0.195
1.614,-0.437771508,0.19
1.617,0.7904064,0.19
1.619,-0.862568908,0.175
1.622,-0.397353488,0.165
1.625,0.197120457,0.185
1.628,-0.284398761,0.185
1.631,-0.451573923,0.18
1.633,-0.824711103,0.18
1.636,-0.127928361,0.17
1.639,-0.859253927,0.175
1.642,0.854288654,0.17
1.644,-0.806932774,0.175
1.647,0.674149194,0.18
1.65,-0.719989254,0.175
1.653,0.49182926,0.16
1.656,0.366846515,0.155
1.658,0.009893592,0.175
1.661,-0.609394215,0.18
1.664,0.625387408,0.175
1.667,0.584032258,0.175
1.669,0.169621095,0.17
1.672,-0.516938944,0.17
1.675,-0.887256282,0.175
1.678,-0.045614247,0.18
1.681,-0.40746687,0.185
1.683,-0.178561857,0.185
1.686,-0.444725512,0.185
1.689,-0.526226821,0.195
1.692,0.078481981,0.2
1.694,-0.600535293,0.24
1.697,0.398689319,0.28
1.7,0.503459004,0.415
1.703,-0.313884893,0.705
1.706,0.560921437,0.965
1.708,0.481141923,0.905
1.711,-0.231630998,0.645
1.714,0.181367692,0.445
1.717,0.833920096,0.39
1.719,0.473313872,0.365
1.722,-0.084600401,0.345
1.725,-0.258450722,0.33
1.728,0.239132336,0.315
1.731,0.694724595,0.305
1.733,0.586364941,0.29
1.736,-0.069509249,0.255
1.739,0.665935668,0.235
1.742,-0.26384492,0.21
1.744,-0.78663714,0.18
1.747,0.310996962,0.16
1.75,0.026945526,0.12
1.753,-0.05158686,0.09
1.756,-0.969997244,0.075
1.758,0.484937766,0.065
1.761,-0.226291237,0.06
1.764,0.749391602,0.03
1.767,0.231130508,0.01
1.769,-0.429201974,-0.015
1.772,0.018871355,-0.04
1.775,0.553490412,-0.05
1.778,0.811189528,-0.065
1.781,-0.342971239,-0.095
1.783,0.970150213,-0.11
1.786,0.4215764,-0.125
1.789,-0.724229016,-0.145
1.792,-0.306216292,-0.155
1.794,0.340642369,-0.15
1.797,-0.686865789,-0.17
1.8,0.951957916,-0.195
1.803,-0.434585548,-0.235
1.806,-0.702170732,-0.29
1.808,-0.972773728,-0.325
1.811,0.681855993,-0.365
1.814,-0.146393018,-0.395
1.817,-0.31443072,-0.4
1.819,0.597869191,-0.45
1.822,0.809199245,-0.48
1.825,0.985374893,-0.515
1.828,0.231243393,-0.545
1.831,0.475715337,-0.58
1.833,0.235027277,-0.595
1.836,-0.371268763,-0.64
1.839,-0.382638402,-0.67
1.842,-0.320794227,-0.68
1.844,0.191588675,-0.67
1.847,-0.545046568,-0.64
1.85,-0.680594313,-0.605
1.853,-0.097296868,-0.555
1.856,-0.108263513,-0.505
1.858,-0.53856147,-0.43
1.861,-0.14559978,-0.36
1.864,0.082310724,-0.295
1.867,-0.848364265,-0.235
1.869,-0.631672823,-0.185
1.872,0.472679802,-0.135
1.875,0.973049796,-0.085
1.878,0.690297335,-0.045
1.881,-0.570346513,0
1.883,0.520857996,0.015
1.886,0.683703901,0.03
1.889,0.530441265,0.045
1.892,0.075473246,0.075
1.894,0.162850406,0.09
1.897,0.508388949,0.11
1.9,0.677591667,0.105
1.903,0.784286184,0.12
1.906,0.605772715,0.155
1.908,0.540502904,0.19
1.911,0.936354444,0.22
1.914,0.664697344,0.235
1.917,-0.681229239,0.26
1.919,0.240156507,0.27
1.922,0.074928229,0.285
1.925,-0.996591793,0.3
1.928,0.850792736,0.315
1.931,0.31943196,0.305
1.933,0.701752166,0.32
1.936,-0.221379372,0.305
1.939,-0.282578596,0.31
1.942,0.579367351,0.325
1.944,-0.673386142,0.355
1.947,-0.479392237,0.35
1.95,0.990141252,0.345
1.953,-0.092637888,0.33
1.956,0.912052568,0.32
1.958,0.882320381,0.335
1.961,-0.523321986,0.35
1.964,-0.970674862,0.355
1.967,-0.578377989,0.355
1.969,0.455468845,0.345
1.972,-0.088130059,0.34
1.975,-0.85885827,0.345
1.978,0.745653214,0.37
1.981,0.515517719,0.37
1.983,0.080221617,0.375
